Date,KO,PEP
2010-06-21,16.19828224182129,39.91924285888672
2010-06-22,16.192108154296875,39.47028732299805
2010-06-23,16.12420654296875,39.11487579345703
2010-06-24,15.988390922546387,38.90910339355469
2010-06-25,15.513062477111816,37.892738342285156
2010-06-28,15.766157150268555,38.63475036621094
2010-06-29,15.534676551818848,38.17955017089844
2010-06-30,15.46985149383545,38.004966735839844
2010-07-01,15.442070007324219,38.360374450683594
2010-07-02,15.44824504852295,38.36663818359375
2010-07-06,15.565534591674805,38.43521499633789
2010-07-07,15.886540412902832,39.23958969116211
2010-07-08,16.179763793945312,39.906768798828125
2010-07-09,16.173587799072266,39.5949821472168
2010-07-12,16.18901824951172,39.744651794433594
2010-07-13,16.272356033325195,39.55135726928711
2010-07-14,16.303224563598633,39.632423400878906
2010-07-15,16.312480926513672,39.38300323486328
2010-07-16,16.164329528808594,38.9402961730957
2010-07-19,16.133468627929688,38.690879821777344
2010-07-20,16.432861328125,40.36196517944336
2010-07-21,16.692121505737305,39.875614166259766
