Date,XOM,CVX
2014-10-22,57.30561065673828,69.75944519042969
2014-10-23,57.908634185791016,71.09957122802734
2014-10-24,58.14247131347656,70.92822265625
2014-10-27,57.66250228881836,70.38362121582031
2014-10-28,58.517826080322266,71.67477416992188
2014-10-29,58.203983306884766,71.6808853149414
2014-10-30,58.11785888671875,71.71761322021484
2014-10-31,59.508487701416016,73.40040588378906
2014-11-03,58.616268157958984,71.4605941772461
2014-11-04,58.16093063354492,70.59778594970703
2014-11-05,58.499351501464844,71.62582397460938
2014-11-06,59.231590270996094,72.53150177001953
2014-11-07,59.86377716064453,72.69670104980469
2014-11-10,59.67162322998047,72.15818786621094
2014-11-11,59.752235412597656,72.47640991210938
2014-11-12,59.113853454589844,71.99297332763672
2014-11-13,58.66762161254883,71.2586669921875
2014-11-14,58.93411636352539,71.83920288085938
2014-11-17,58.94651412963867,71.4871826171875
2014-11-18,58.79773712158203,71.31425476074219
2014-11-19,59.25639724731445,71.93184661865234
2014-11-20,59.38655471801758,72.45063781738281
2014-11-21,60.00011444091797,73.2349853515625
2014-11-24,59.32457733154297,72.62354278564453
2014-11-25,58.741973876953125,71.7342300415039
2014-11-26,58.556053161621094,71.09190368652344
2014-11-28,56.11415100097656,67.23811340332031
2014-12-01,57.23593521118164,69.00443267822266
2014-12-02,58.37629699707031,70.41873931884766
2014-12-03,58.84733963012695,70.22725677490234
2014-12-04,58.48787307739258,69.34410858154297
2014-12-05,58.14699172973633,68.4732894897461
2014-12-08,56.83307647705078,65.95965576171875
2014-12-09,56.6347541809082,66.0893783569336
2014-12-10,54.95517349243164,64.76151275634766
2014-12-11,55.28364944458008,64.79238891601562
2014-12-12,53.67224884033203,63.22987365722656
2014-12-15,53.85817337036133,62.291114807128906
2014-12-16,53.55449295043945,62.80989456176758
2014-12-17,55.17210006713867,65.47793579101562
2014-12-18,56.49840545654297,67.33692169189453
2014-12-19,58.03541564941406,69.74554443359375
2014-12-22,57.84331130981445,69.189697265625
2014-12-23,58.62422561645508,70.3755111694336
2014-12-24,58.122215270996094,70.07904815673828
2014-12-26,57.76893997192383,69.94319152832031
2014-12-29,57.68214797973633,69.98640441894531
2014-12-30,57.65118408203125,69.85672760009766
2014-12-31,57.29790115356445,69.2823486328125
2015-01-02,57.53343200683594,69.52937316894531
2015-01-05,55.95920181274414,66.75017547607422
2015-01-06,55.66172409057617,66.71931457519531
2015-01-07,56.22570037841797,66.66374206542969
2015-01-08,57.161563873291016,68.18920135498047
2015-01-09,57.08098602294922,66.83049011230469
2015-01-12,55.984004974365234,65.39148712158203
2015-01-13,55.779457092285156,64.35391998291016
2015-01-14,55.618343353271484,64.16859436035156
2015-01-15,55.13490676879883,63.40898132324219
2015-01-16,56.473609924316406,64.922119140625
2015-01-20,56.45500946044922,65.75586700439453
2015-01-21,56.93843460083008,66.79959869384766
2015-01-22,57.55820083618164,67.26898193359375
2015-01-23,56.3310546875,65.99054718017578
2015-01-26,56.870262145996094,67.24427795410156
2015-01-27,56.368263244628906,66.86134338378906
2015-01-28,54.50892639160156,64.05127716064453
2015-01-29,54.27961349487305,63.612789154052734
